TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity, Stellar Metallicity err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
90919952,1118.01,,5,5,5,5,5,5,5,,PC,FP,10.5084,0.006,,1,qlp,18:29:43.9,-44:37:31.82,-0.54,1.063,-5.003,1.063,2458660.16316,0.00121,4.13812,0.00036,3.911,0.49,6.053538,0.002787,5560,2.56649,,,613.964,1386,70,,,4898.4,88.7,,,,,,,"13",2019-08-22 14:42:10,2020-05-20 19:58:56,2020-05-20 16:00:02,"Likely EB"
261369656,1119.01,,5,5,5,5,5,5,5,,PC,FP,10.5024,0.006,,1,qlp,19:30:25.16,-46:16:41.07,19.136,0.06,-29.092,0.041,2458666.52199,0.00188,10.95663,0.00203,3.588,0.259,4.166353,1.605275,3830,1477.42,23.9726,8.82147,619.065,1389,30,421.518,7.0305,6456,127.2,3.92,.09,2.07,.1,-0.42,0.12,"13",2019-08-22 14:42:11,2020-05-20 19:58:56,2020-05-20 16:00:02,
143257766,1120.01,,5,5,5,5,5,5,5,,PC,FP,10.4063,0.006,,1,qlp,19:33:33.43,-45:53:33.6,11.184,0.09,3.978,0.059,2458656.44854,0.00125,1.66255,0.00013,3.285,0.073,6.68697,0.000921,6140,.848015,13.1846,.603621,6967.56,2545,70,386.323,9.084,7301,141.5,4.23,.08,1.64,.07,,,"13",2019-08-22 14:42:11,2020-05-20 19:58:56,2020-09-18 12:02:30,"Could be on neighbor TIC 143257774; has stellar companion TIC 143257770 with equal brightness and stellar mass"
24094603,1121.01,,5,5,5,5,5,5,5,,PC,FP,11.0605,0.006,,1,qlp,17:58:35.67,-46:03:55.88,2.307,0.079,-2.24,0.069,2458658.610474,0.00621,4.07611,0.002,2.062,0.503,1.580005,0.005828,1454.180054,5.36746,,,,,12,338.644,7.02,,,,,,,,,"13",2019-08-22 14:42:11,2019-12-17 15:43:41,2019-12-17 10:00:02,"possibly stellar variability"
304774444,1122.01,,5,5,5,5,5,5,5,,PC,FP,10.2934,0.007,,1,qlp,18:45:28.68,-52:15:46.54,4.1,3.2,-24.9,3,2458658.77421,0.00423,3.62654,0.00106,3.298,0.319,0.98847,0.000999,910,.920342,4.22803,,944.609,,16,249.826,,6317,,,,1.38,,,,"13",2019-08-22 14:42:11,2020-05-20 19:58:58,2020-07-24 12:00:35,"Likely stellar variability"
469782185,1123.01,,5,5,5,5,5,5,5,,PC,FP,10.2398,0.006,,1,qlp,19:29:33.96,-37:18:14.43,-20.519,0.15,1.569,0.138,2458658.040894,0.00026,1.20928,0.00002,1.886,0.025,12.979951,0.896991,11883.799805,825.817993,15.1764,4.0994,,,210,161.932,2.2055,5159.799805,156.300003,4.23,.08,1.27,.07,,,"13",2019-08-22 14:42:10,2019-12-17 15:43:41,2019-12-17 10:00:02,"Large candidate"
128790976,1124.01,,5,5,5,5,5,5,5,,PC,FP,7.2235,0.006,,1,qlp,20:00:51.1,-43:58:57.1,57.283,0.136,-119.195,0.113,2458657.43106,0.00054,3.51874,0.00014,2.739,0.107,6.282841,0.807246,5770,743.225,21.1311,4.58243,3347.64,2119,88,75.7145,.60865,6690,119.9,4.24,.09,1.49,.07,,,"13",2019-08-22 14:42:10,2020-05-20 19:58:56,2020-07-26 12:00:43,"Odd/even and likely EB"
80166433,1125.01,,3,5,5,3,2,4,4,,PC,,8.0465,0.006,,1,qlp,19:53:09.05,-46:22:11.97,11.24,0.091,6.895,0.074,2458656.14889,0.00308,1.54602,0.00027,0.852,0.186,0.477829,0.003102,440,2.85741,6.07245,.509683,1128.98,1614,11,237.593,4.3795,8271,143.9,3.95,.07,2.5,.09,,,"13",2019-08-22 14:42:10,2020-05-20 19:58:59,2020-05-20 16:00:02,
405862830,1126.01,,5,5,5,5,5,5,5,,PC,FP,10.3579,0.006,,1,qlp,18:36:14.99,-43:37:14.18,6.138,0.083,10.755,0.078,2458658.24805,0.00481,1.62652,0.00048,3.355,0.478,1.06,0.001444,975.82,1.32959,2.62267,.109288,2204.18,1908,19,97.8115,.44215,5034,48.8,4.64,.08,.76,.01,0.0964554,0.0665523,"13",2019-08-22 14:42:11,2020-07-14 10:01:19,2020-07-14 10:00:07,"Possibly stellar variability"
269450900,1127.01,,5,5,5,5,5,5,5,,PC,FP,7.3163,0.006,,1,qlp,19:28:46.87,-36:00:00.94,1.909,0.135,-0.117,0.087,2458657.630737,0.00134,2.32439,0.00021,4.453,0.059,2.940003,0.179629,2704.179932,165.431,,,,,88,177.741,2.084,8268.5,268.200012,3.93,.07,,,,,"13",2019-08-22 14:42:11,2019-12-17 15:43:41,2019-12-17 10:00:02,"Possible centroid shift"
425721385,1128.01,,5,5,5,5,5,5,5,,PC,FP,9.7298,0.006,,1,qlp,19:19:02.83,-43:04:27.2,17.105,0.07,-55.58,0.06,2458663.15245,0.0055,13.5499,0.00564,1.795,0.72,1.281925,0.020775,1180,19.1341,6.24633,.838277,31.6652,660,10,222.529,3.137,6209,131,4.09,.08,1.63,.08,,,"13",2019-08-22 14:42:11,2020-05-20 19:58:58,2020-05-20 16:00:02,
