star_ID,Period(yrs),Radius(REarth),a(AU),BBtemp(K),planet_type
4528,3.06889,12.1241,2.13441,196.383,14
6936,9.70222,12.4276,5.04735,163.151,14
7082,3.19396,11.2833,1.65084,106.084,14
2960,10.9642,10.5880,5.66744,168.496,14
2537,12.3373,13.6439,6.18063,164.784,14
4062,10.4648,13.3798,4.83078,130.199,14
1885,11.6067,11.5956,5.76590,158.200,14
5624,12.0675,8.94611,6.28043,177.215,14
314,9.77858,7.89587,5.17056,169.391,14
599,3.37698,8.03781,2.09156,159.103,14
1909,18.3711,9.62039,7.39179,120.077,14
1440,1.84484,13.5615,1.38503,190.888,14
4710,13.4024,10.2417,6.42680,154.890,14
5135,1.69450,6.36133,1.38415,221.206,14
1999,3.36545,14.0653,2.44221,222.494,14
1363,10.5504,13.8913,5.16245,147.809,14
2600,9.04041,6.02124,4.45513,141.613,14
6237,5.46271,10.6182,3.67853,227.613,14
3739,4.17858,6.53817,2.55545,167.753,14
3316,7.35925,9.12381,4.43956,201.485,14
794,5.11375,13.0261,3.02736,168.877,14
599,3.37698,14.2589,2.09156,159.103,14
4157,2.81050,13.8475,1.21525,69.2060,14
610,1.09354,6.48441,0.991003,234.046,14
5637,8.83352,12.3578,4.70958,165.942,14
6522,2.07376,10.2887,1.24646,124.336,14
3136,10.1707,11.4046,5.19892,159.976,14
4710,13.4024,6.25811,6.42680,154.890,14
4229,6.15638,12.7652,3.02112,121.518,14
6307,2.08359,10.7408,1.67641,231.468,14
4710,13.4024,6.01906,6.42680,154.890,14
5626,14.0744,7.49789,6.25222,134.098,14
285,1.19125,8.09884,0.999171,205.039,14
5152,8.95687,11.2370,3.65589,94.5565,14
4291,9.32111,8.74123,4.92560,166.155,14
261,14.8458,14.1417,6.05863,114.246,14
579,3.93317,6.83541,2.25180,142.538,14
7401,10.8518,13.2617,4.64145,112.233,14
2158,16.3589,11.3546,6.57011,114.519,14
1132,6.23586,9.75024,3.31099,144.360,14
6477,12.6341,12.8501,6.53854,178.155,14
6918,4.87094,11.8802,3.24454,213.051,14
3986,8.71393,8.94853,4.93971,188.081,14
3766,4.99433,12.4530,2.52416,119.610,14
1896,3.61832,7.79635,2.49540,205.182,14
3500,0.997508,10.1072,0.700437,131.495,14
2328,4.35643,9.94662,2.47870,146.168,14
3739,4.17858,10.3868,2.55545,167.753,14
2859,6.81459,7.85541,3.46253,135.924,14
3739,4.17858,7.25151,2.55545,167.753,14
3330,15.3389,9.04911,6.30444,117.412,14
747,5.81311,9.06602,2.96664,129.256,14
3316,7.35925,12.1337,4.43956,201.485,14
2597,10.8810,7.18044,4.71662,115.584,14
6793,10.8764,9.82416,4.98558,130.138,14
598,9.74140,12.0332,4.77005,143.674,14
1146,4.06790,6.59179,2.51525,169.997,14
3703,4.55566,9.95921,2.63453,153.863,14
6477,12.6341,8.78173,6.53854,178.155,14
6899,1.24174,9.72569,1.00078,191.325,14
2257,10.2399,11.0635,5.00682,145.933,14
3739,4.17858,13.3538,2.55545,167.753,14
6345,4.27621,11.8301,2.41992,143.493,14
288,1.97746,10.3792,1.60562,231.422,14
2020,3.09193,13.2194,2.08768,184.922,14
7329,12.1175,9.39545,5.62688,139.299,14
4549,2.59554,6.04574,1.71563,165.522,14
1149,2.25267,8.23180,1.65117,195.519,14
6700,1.93059,0.805475,1.61067,242.959,15
4883,1.81853,0.988562,1.49641,230.716,15
1440,0.973070,0.999201,0.904170,236.256,15
5152,0.383915,0.724811,0.447761,270.187,15
5162,1.52115,1.37696,1.33753,248.425,15
3617,0.858827,1.17754,0.815809,236.263,15
3627,1.72063,0.780533,1.40809,223.354,15
2467,5.69480,0.884491,3.76344,222.145,15
3513,0.149224,1.10192,0.197084,246.900,15
6700,2.54428,1.34697,1.93608,221.603,15
5931,0.0491225,0.793370,0.0756845,225.815,15
1837,0.137388,1.37077,0.184719,248.616,15
6097,2.85288,1.19703,2.12954,222.058,15
1714,2.32642,0.528976,1.94069,260.499,15
2656,3.05384,0.793229,2.30821,233.929,15
1083,3.23752,0.930722,2.36964,223.323,15
4157,0.0844303,1.30084,0.117438,222.624,15
6097,1.73262,0.573212,1.52721,262.217,15
5383,3.30136,1.17654,2.38178,218.177,15
5508,0.649024,0.879658,0.698683,277.487,15
4728,0.657004,1.18637,0.709797,280.880,15
4278,1.45158,0.635470,1.28516,247.695,15
5901,0.0821483,0.922531,0.124345,263.718,15
5749,2.32031,1.00126,1.87329,242.763,15
2689,0.744430,0.689688,0.785042,279.615,15
1963,1.32429,1.09796,1.26133,279.507,15
7204,1.73227,0.537328,1.49078,249.187,15
286,3.48184,1.35444,2.63676,246.727,15
4229,1.00253,0.789646,0.900911,222.528,15
5767,1.76685,0.803275,1.54367,259.229,15
5593,0.0856611,0.533401,0.131894,277.785,15
1807,1.93370,0.957569,1.61316,243.075,15
5213,1.50555,1.12447,1.31906,245.585,15
7199,0.512798,1.28760,0.548227,250.316,15
2859,0.836195,1.10331,0.855011,273.531,15
5737,1.61946,0.726080,1.32310,217.564,15
2859,1.45699,0.887425,1.23805,227.312,15
6237,4.54583,1.08333,3.25445,241.989,15
7009,3.63472,1.19101,2.60854,223.678,15
4229,0.567175,0.648250,0.616257,269.057,15
3766,0.382453,0.982408,0.455180,281.665,15
7295,2.46627,0.817380,2.00937,253.243,15
610,0.957103,0.535874,0.906755,244.677,15
274,1.28316,1.21213,1.17508,254.102,15
7401,0.839947,0.621314,0.842989,263.351,15
4236,1.24724,0.538446,1.14042,250.586,15
5383,3.30288,0.674075,2.38251,218.143,15
6198,4.60297,1.07035,3.12950,217.857,15
4930,2.08171,0.802097,1.63052,218.556,15
1440,1.25629,1.18775,1.07205,216.971,15
68,3.19704,0.547082,2.40921,236.472,15
3627,1.83417,1.23424,1.46938,218.647,15
1405,3.59454,1.04461,2.54894,217.141,15
5223,0.181842,0.908090,0.224803,231.057,15
