# tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err,Transit Depth,Transit Depth Err,comments,logg,logg Err,R_s,R_s Err,R_p,R_p Err,T_eq,T_eff,T_eff Err,Insol_p,SNR_p
231702397,122.01,PC,332.947,-58.9451,13.048,0.04,1329.121491,0.002308,5.077677,0.000878,1.155359,0.447793,6501.890778,781.0324,Small star with a small planet candidate,4.9581,0.407256,0.294,0.051,2.386458,1.250847,406.577702,3318,64,6.457958,0.940471
290131778,123.01,PC,319.6994,-26.616077,8.803,0.018,1325.375658,0.000473,3.308754,0.000101,5.634728,0.031274,3177.131896,28.132027,,4.27166,2.00586,1.31887,1.31887,7.723223,7.723462,1461.728795,6188,194,1078.917433,0.920341
52368076,125.01,PC,23.594697,-66.67583,10.138,0.017,1327.432906,0.001879,4.653811,0.000289,2.921928,0.288457,1007.882466,50.584927,,4.47072,0.28501,0.89927,0.116155,2.863905,1.099036,944.46127,5154,182,188.043192,17.438063
52368076,125.02,PC,23.594697,-66.67583,10.138,0.017,1334.45669,0.002132,9.150607,0.00073,2.907668,0.380794,996.181819,61.571884,second planet (125.02),4.47072,0.28501,0.89927,0.116155,2.861244,1.371003,753.882703,5154,182,76.337181,14.804296
52368076,125.03,PC,23.594697,-66.67583,10.138,0.017,1342.851835,0.003286,19.981866,0.004595,2.991231,0.720831,1046.211139,112.284874,period is likely correct but possibly two independent single transits,4.47072,0.28501,0.89927,0.116155,2.899664,2.696121,581.087764,5154,182,26.945604,10.261628
70440470,126.01,PC,339.489337,-35.153982,12.725,0.018,1326.731043,0.000948,3.035381,0.000203,2.886722,0.077295,16740.83645,333.53653,,4.35036,0,1.12237,1.12237,15.044467,15.047709,1320.533104,5751,189,718.651229,0.860842
234523599,127.01,PC,15.551099,-61.756001,14.097,0.018,1325.650197,0.000565,3.795609,6.90E-05,2.042805,0.04323,55371.0846,803.346,,4.438,0,1,0,23.750976,0.342044,692.182873,3424,0,54.250581,58.1628
391949880,128.01,PC,79.522476,-80.964663,7.9,0.017,1328.129344,0.001912,4.940663,0.000654,2.202493,0.278214,398.563168,28.429855,"There is a nearby (2"") comoving dMag~2.5 star. If the signal originates from either the target star or nearby star it could still be a small planet.",4.26269,0.26143,1.3075,0.145464,2.766351,0.943072,1260.307212,6086,193,596.247661,0.854549
201248411,129.01,PC,0.187097,-54.830506,9.82357,0.016928,1354.552404,0.000149,0.980981,1.00E-05,0.743316,0.014155,7028.41767,120.82581,TOI 129.01,4.49914,0.338797,0.782459,0.124009,9.218137,2.036007,1334.976832,4486,175,750.612716,108.864296
263003176,130.01,PC,12.541184,-83.743964,7.426,0.019,1336.559583,0.002205,14.339928,0.003271,4.653356,0.530555,411.321986,24.453753,Centroid shift is almost a pixel away but there is no corresponding star in that position. There are two nearby stars Gmag=13 close to the NW and Gmag=18 to the SE. If the transit signal is on target it is a small planet around a bright star.,4.438,0,1.14366,0.10287,2.36279,1.131195,835.651991,6295.7,56.481,115.245191,0.805803
